movie_id,title,isAdult,startYear,runtimeMinutes,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0021739,la chienne,0.0,1931,95.0,7.5,4882,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0021754,coeur de lilas,0.0,1932,90.0,6.6,218,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021855,faubourg montmartre,0.0,1931,115.0,6.3,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0021864,la fin du monde,0.0,1931,105.0,6.0,360,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0022017,la tragédie de la mine,0.0,1931,93.0,7.5,1769,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022108,maison de danse|maison de danses,0.0,1931,85.0,5.3,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022125,marius,0.0,1931,130.0,7.8,2605,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0022141,mephisto,0.0,1931,134.0,6.6,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0022150,le million,0.0,1931,91.0,7.3,3856,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0022223,on purge bébé,0.0,1931,46.0,6.0,525,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022252,paris-béguin,0.0,1931,117.0,5.8,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022337,salto mortale,0.0,1931,95.0,6.7,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022408,sola,0.0,1931,79.0,5.0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022494,tout ça ne vaut pas l'amour|un vieux garçon,0.0,1931,87.0,6.1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0022599,à nous la liberté!|à nous la liberté,0.0,1931,83.0,7.4,4997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0022611,l'affaire est dans le sac,0.0,1932,45.0,6.7,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022718,boudu sauvé des eaux,0.0,1932,85.0,7.2,6245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022765,les cinq gentlemen maudits,0.0,1931,82.0,6.2,128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0022787,les croix de bois,0.0,1932,115.0,7.7,1707,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0022877,fanny,0.0,1932,125.0,7.8,1946,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0022924,les gaîtés de l'escadron,0.0,1932,85.0,5.9,192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023002,l'atlantide,0.0,1932,87.0,6.0,593,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
tt0023190,"une histoire d'amour|marie, légende hongroise",0.0,1932,66.0,6.5,285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023284,la nuit du carrefour,0.0,1932,75.0,6.5,964,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0023345,poil de carotte,0.0,1932,91.0,7.5,758,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023412,le rosier de madame husson,0.0,1932,57.0,6.5,62,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023448,shéhérazade,0.0,1928,90.0,7.1,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023623,mélo|der träumende mund,0.0,1932,95.0,7.3,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023649,"vampyr, ou l'étrange aventure de david gray",0.0,1932,75.0,7.4,20679,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0023933,du haut en bas,0.0,1933,79.0,6.8,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0023942,les deux orphelines|frochard et les deux orphelines,0.0,1933,102.0,6.9,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024196,jofroi,0.0,1933,52.0,7.1,109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024310,la maternelle|la maternelle,0.0,1933,83.0,7.4,134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024310,la maternelle|la maternelle,0.0,1933,83.0,7.4,134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024441,le petit roi,0.0,1933,80.0,6.2,72,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024480,quatorze juillet|14 juillet,0.0,1933,86.0,7.0,482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024689,toto,0.0,1933,80.0,5.7,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024710,la tête d'un homme,0.0,1933,90.0,7.1,696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt0024720,liebelei - une histoire d'amour|une histoire d'amour,0.0,1933,82.0,6.9,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0024803,0 de conduite|zéro de conduite: jeunes diables au collège,0.0,1933,47.0,7.2,9421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024830,angèle|un de baumugnes,0.0,1934,145.0,7.3,429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0024844,le chaland qui passe|l'atalante,0.0,1934,89.0,7.7,17600,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0025043,le dernier milliardaire,0.0,1934,90.0,6.1,237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025115,les filles de la concierge|mes filles|trois filles de la concierge,0.0,1934,80.0,5.9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0025191,golgotha,0.0,1935,95.0,6.6,287,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025198,le grand jeu,0.0,1934,120.0,7.2,429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0025279,l'hôtel du libre échange,0.0,1934,95.0,6.3,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025362,lac aux dames,0.0,1934,106.0,6.5,168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025397,liliom,0.0,1934,118.0,6.8,1272,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025442,madame bovary,0.0,1934,101.0,6.6,550,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025471,maria chapdelaine,0.0,1934,77.0,6.5,263,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025480,mauvaise graine,0.0,1934,77.0,6.1,1014,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0025480,mauvaise graine,0.0,1934,77.0,6.1,1014,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0025509,1ère époque: une tempête sous un crâne|2ème époque: les thénardier|3ème époque: liberté liberté chérie|les misérables,0.0,1934,281.0,8.3,1983,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025744,sans famille,0.0,1934,114.0,6.6,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0025892,la bataille,0.0,1934,83.0,5.7,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0025892,la bataille,0.0,1934,83.0,5.7,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0025898,toni,0.0,1935,84.0,7.2,2101,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0026023,zouzou,0.0,1934,92.0,6.3,664,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0026095,la grande relève|la bandera,0.0,1935,88.0,6.9,740,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0026103,les beaux jours,0.0,1935,80.0,6.3,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0026193,cette vieille canaille,0.0,1933,99.0,5.6,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0026280,divine,0.0,1935,82.0,6.4,178,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0026546,jérôme perreau héros des barricades,0.0,1935,115.0,6.3,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0026556,justin de marseille|ma belle marseille,0.0,1935,95.0,6.6,191,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0026564,la kermesse héroïque,0.0,1935,95.0,7.4,1416,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
