tconst,numVotes,averageRating
tt0039739,6466,7.7
tt0039792,162,6.4
tt0039822,5704,7.6
tt0039823,587,7.1
tt0040090,298,6.9
tt0040114,251,6.6
tt0040137,1008,6.8
tt0040146,32,5.5
tt0040215,98,6.7
tt0040223,533,7.2
tt0040240,81,5.7
tt0040284,135,5.6
tt0040288,291,6.9
tt0040304,100,6.2
tt0040343,14,6.1
tt0040467,210,6.6
tt0040497,9110,7.2
tt0040682,995,6.9
tt0040683,179,7.1
tt0040704,88,6.5
tt0040769,73,6.4
tt0040826,72,6.0
tt0040917,870,7.4
tt0041092,13,6.0
tt0041136,48,6.3
tt0041137,146,7.1
tt0041160,48,6.3
tt0041200,61,4.9
tt0041342,254,6.5
tt0041414,300,6.1
tt0041492,79,5.6
tt0041628,1037,5.8
tt0041634,1192,6.8
tt0041635,455,7.2
tt0041640,472,6.6
tt0041646,83,6.6
tt0041651,44,5.4
tt0041654,77,5.8
tt0041702,94,7.0
tt0041705,387,6.7
tt0041710,242,6.8
tt0041719,13518,7.9
tt0041731,51,5.8
tt0041734,45,5.7
tt0041738,397,7.4
tt0041756,42,7.4
tt0041763,164,6.6
tt0041800,459,7.0
tt0041802,272,7.0
tt0041977,43,6.0
tt0042003,124,6.9
tt0042189,882,6.2
tt0042193,12,5.2
tt0042194,267,6.1
tt0042210,2241,5.5
tt0042235,1833,7.3
tt0042255,167,5.7
tt0042316,172,5.9
tt0042317,40,5.9
tt0042318,138,5.3
tt0042346,131,6.7
tt0042362,87,5.6
tt0042401,104,7.2
tt0042429,742,6.9
tt0042436,4354,6.9
tt0042534,501,6.6
tt0042540,111,6.2
tt0042619,12805,7.8
tt0042621,475,6.9
tt0042625,447,7.1
tt0042649,601,7.3
tt0042729,219,6.7
tt0042736,374,6.2
tt0042737,110,6.6
tt0042803,756,6.9
tt0042857,31,6.1
tt0042859,239,6.7
tt0042906,6003,7.5
tt0042909,58,5.0
tt0042911,73,4.9
tt0042923,187,6.6
tt0042988,280,7.2
tt0043011,39,5.6
tt0043164,188,6.7
tt0043264,416,5.6
tt0043266,43,7.1
tt0043287,462,6.6
tt0043303,1606,7.2
tt0043355,160,5.8
tt0043386,6266,7.6
tt0043577,579,6.2
tt0043686,13177,8.0
tt0043802,133,5.6
tt0043816,135,6.3
tt0043837,72,6.0
tt0043865,291,5.7
tt0043877,85,6.0
tt0043902,212,6.1
tt0043918,4876,7.6
tt0043927,1649,7.4
tt0043956,45,6.2
tt0043972,6936,7.4
tt0044025,276,6.3
tt0044034,96,6.2
tt0044140,396,7.0
